attribute;code;sort_order;label-fr_FR;label-en_US;label-de_DE;label-ru_RU;label-it_IT
attr_58;attr_opt_attr_589;3;"Et magnam sunt.";"Non dolorem.";"Nobis sed.";"Error nemo.";"Delectus facere."
attr_64;attr_opt_attr_640;2;"Doloremque sit ut.";"Blanditiis dolore rem.";"Consectetur sed.";"Asperiores alias.";"Veniam iste."
attr_64;attr_opt_attr_641;4;"Voluptatem rem libero.";"Illo ipsam.";"Laboriosam culpa.";"Dolorem ut.";"Excepturi fuga id."
attr_64;attr_opt_attr_642;7;"Sint et veritatis.";"Hic aperiam et.";"Voluptas at.";"Quasi eos non.";"Quia voluptatum a."
attr_64;attr_opt_attr_643;4;"Aut cupiditate aut.";"Earum adipisci.";"Numquam voluptate.";"Eligendi libero.";"Nulla voluptas."
attr_64;attr_opt_attr_644;5;"Nostrum explicabo sed.";"Cumque aut.";"Suscipit repellendus sit.";"Iusto et sed.";"Sint explicabo provident."
attr_64;attr_opt_attr_645;3;"Dicta odio.";"Eligendi necessitatibus eum.";"Omnis unde accusamus.";"Totam repellat.";"Facere maxime."
attr_64;attr_opt_attr_646;6;"Ratione minus.";"Ut qui quo.";"Et voluptatibus facilis.";"Voluptas molestiae.";"Laboriosam corrupti quis."
attr_64;attr_opt_attr_647;2;"Beatae et similique.";"Odio sit.";"Doloribus dolores perferendis.";"Laudantium porro porro.";"Nostrum aliquam itaque."
attr_64;attr_opt_attr_648;9;"Laboriosam et.";"Omnis vel.";"Quia culpa.";"Qui sequi officiis.";"Doloremque voluptatibus."
attr_64;attr_opt_attr_649;9;"Eligendi culpa.";"Quis beatae laudantium.";"Exercitationem est aut.";"Ipsam et.";"Et quisquam."
